neighbourhood,linkWikidata
Lista,https://wikidata.org/entity/Q28059485
Lista,https://wikidata.org/entity/Q4779
LISTA,https://wikidata.org/entity/Q1773521
LISTA,https://wikidata.org/entity/Q28059485
LISTA,https://wikidata.org/entity/Q4779
Justicia,https://wikidata.org/entity/Q6080146
JUSTICIA,https://wikidata.org/entity/Q6080146
Cuatro Caminos,https://wikidata.org/entity/Q27212874
CUATRO CAMINOS,https://wikidata.org/entity/Q27212874
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q794954
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q26736141
Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142
PUERTA DEL ANGEL,https://wikidata.org/entity/Q794954
PUERTA DEL ANGEL,https://wikidata.org/entity/Q26736141
PUERTA DEL ANGEL,https://wikidata.org/entity/Q31142
Prosperidad,https://wikidata.org/entity/Q1766348
Prosperidad,https://wikidata.org/entity/Q4776
Prosperidad,https://wikidata.org/entity/Q5686040
PROSPERIDAD,https://wikidata.org/entity/Q1766348
PROSPERIDAD,https://wikidata.org/entity/Q4776
PROSPERIDAD,https://wikidata.org/entity/Q5686040
Castellana,https://wikidata.org/entity/Q16620302
CASTELLANA,https://wikidata.org/entity/Q16620302
Ciudad Jardín,https://wikidata.org/entity/Q1766348
Ciudad Jardín,https://wikidata.org/entity/Q27038851
Ciudad Jardín,https://wikidata.org/entity/Q3773744
CIUDAD JARDIN,https://wikidata.org/entity/Q1766348
CIUDAD JARDIN,https://wikidata.org/entity/Q27038851
CIUDAD JARDIN,https://wikidata.org/entity/Q3773744
Castellana,https://wikidata.org/entity/Q5740879
CASTELLANA,https://wikidata.org/entity/Q5740879
Recoletos,https://wikidata.org/entity/Q5740879
RECOLETOS,https://wikidata.org/entity/Q5740879
Aravaca,https://wikidata.org/entity/Q2017682
Aravaca,https://wikidata.org/entity/Q3314682
ARAVACA,https://wikidata.org/entity/Q2017682
ARAVACA,https://wikidata.org/entity/Q3314682
Niño Jesús,https://wikidata.org/entity/Q2002296
Niño Jesús,https://wikidata.org/entity/Q3773746
NIÑO JESUS,https://wikidata.org/entity/Q2002296
NIÑO JESUS,https://wikidata.org/entity/Q3773746
Ciudad Jardín,https://wikidata.org/entity/Q5741020
CIUDAD JARDIN,https://wikidata.org/entity/Q5741020
